tool,rep,filter,bits,hits,seconds,addr_per_sec,gpu_watts,cpu_watts
honion,31,hon2on,30,1000,90,1.193046e+10,588.0,129.9
prefix32,31,hon2on,30,873,90,1.041530e+10,589.6,89.0
mkp224o,32,hon2o,25,683,90,2.546409e+08,140.8,339.1
honion,32,hon2on,30,1023,90,1.220487e+10,591.8,110.9
prefix32,32,hon2on,30,902,90,1.076128e+10,590.3,87.9
mkp224o,33,hon2o,25,728,90,2.714181e+08,140.4,338.5
honion,33,hon2on,30,1092,90,1.302807e+10,588.7,113.6
prefix32,33,hon2on,30,933,90,1.113112e+10,590.4,88.3
mkp224o,34,hon2o,25,681,90,2.538952e+08,140.4,339.0
honion,34,hon2on,30,1037,90,1.237189e+10,587.7,111.5
prefix32,34,hon2on,30,855,90,1.020055e+10,590.5,87.4
mkp224o,35,hon2o,25,677,90,2.524039e+08,140.7,339.1
honion,35,hon2on,30,1038,90,1.238382e+10,592.3,110.3
prefix32,35,hon2on,30,883,90,1.053460e+10,591.5,86.6
mkp224o,36,hon2o,25,724,90,2.699268e+08,140.6,338.5
honion,36,hon2on,30,1035,90,1.234803e+10,587.3,110.2
prefix32,36,hon2on,30,850,90,1.014090e+10,590.1,86.8
mkp224o,37,hon2o,25,669,90,2.494213e+08,140.4,339.0
honion,37,hon2on,30,1041,90,1.241961e+10,589.6,110.2
prefix32,37,hon2on,30,884,90,1.054653e+10,590.6,87.5
mkp224o,38,hon2o,25,671,90,2.501669e+08,140.2,338.2
honion,38,hon2on,30,1106,90,1.319509e+10,588.2,110.1
prefix32,38,hon2on,30,871,90,1.039143e+10,592.7,86.6
mkp224o,39,hon2o,25,659,90,2.456930e+08,140.1,338.3
honion,39,hon2on,30,1013,90,1.208556e+10,587.6,110.7
prefix32,39,hon2on,30,892,90,1.064197e+10,590.1,87.3
mkp224o,40,hon2o,25,666,90,2.483028e+08,140.2,339.1
honion,40,hon2on,30,1059,90,1.263436e+10,590.7,110.2
prefix32,40,hon2on,30,943,90,1.125043e+10,590.9,88.3
mkp224o,41,hon2o,25,692,90,2.579963e+08,140.4,339.0
honion,41,hon2on,30,1086,90,1.295648e+10,589.0,110.0
prefix32,41,hon2on,30,857,90,1.022441e+10,590.3,87.2
mkp224o,42,hon2o,25,719,90,2.680626e+08,140.4,338.3
honion,42,hon2on,30,1042,90,1.243154e+10,587.8,110.6
prefix32,42,hon2on,30,911,90,1.086865e+10,590.2,87.3
mkp224o,43,hon2o,25,723,90,2.695539e+08,140.0,337.9
honion,43,hon2on,30,1026,90,1.224066e+10,591.3,110.2
prefix32,43,hon2on,30,895,90,1.067777e+10,591.5,87.0
mkp224o,44,hon2o,25,742,90,2.766377e+08,140.4,338.7
honion,44,hon2on,30,995,90,1.187081e+10,588.5,111.5
prefix32,44,hon2on,30,940,90,1.121464e+10,590.3,86.9
mkp224o,45,hon2o,25,712,90,2.654528e+08,140.5,338.7
honion,45,hon2on,30,1067,90,1.272981e+10,587.7,110.3
prefix32,45,hon2on,30,890,90,1.061811e+10,590.9,86.9
mkp224o,46,hon2o,25,670,90,2.497941e+08,140.5,338.8
honion,46,hon2on,30,1019,90,1.215714e+10,591.6,110.5
prefix32,46,hon2on,30,855,90,1.020055e+10,591.1,87.1
mkp224o,47,hon2o,25,729,90,2.717909e+08,140.1,338.7
honion,47,hon2on,30,1053,90,1.256278e+10,588.9,110.4
prefix32,47,hon2on,30,881,90,1.051074e+10,590.2,87.8
mkp224o,48,hon2o,25,703,90,2.620974e+08,140.2,338.6
honion,48,hon2on,30,995,90,1.187081e+10,589.1,110.6
prefix32,48,hon2on,30,837,90,9.985799e+09,590.0,87.0
mkp224o,49,hon2o,25,684,90,2.550137e+08,140.8,338.5
honion,49,hon2on,30,1105,90,1.318316e+10,592.4,110.4
prefix32,49,hon2on,30,886,90,1.057039e+10,591.5,86.7
mkp224o,50,hon2o,25,666,90,2.483028e+08,140.7,339.0
honion,50,hon2on,30,1026,90,1.224066e+10,588.1,110.4
prefix32,50,hon2on,30,919,90,1.096410e+10,590.0,86.4
mkp224o,51,hon2o,25,722,90,2.691811e+08,140.5,338.6
honion,51,hon2on,30,1028,90,1.226452e+10,592.4,112.7
prefix32,51,hon2on,30,878,90,1.047495e+10,590.8,89.5
mkp224o,52,hon2o,25,725,90,2.702996e+08,139.9,338.8
honion,52,hon2on,30,1022,90,1.219293e+10,588.5,110.1
prefix32,52,hon2on,30,937,90,1.117885e+10,591.2,86.0
mkp224o,53,hon2o,25,714,90,2.661985e+08,36.0,334.9
honion,53,hon2on,30,963,90,1.148904e+10,591.7,109.3
prefix32,53,hon2on,30,850,90,1.014090e+10,592.0,86.1
mkp224o,54,hon2o,25,666,90,2.483028e+08,140.0,339.6
honion,54,hon2on,30,1060,90,1.264629e+10,588.1,109.7
prefix32,54,hon2on,30,877,90,1.046302e+10,591.9,86.3
mkp224o,55,hon2o,25,693,90,2.583691e+08,140.8,338.6
honion,55,hon2on,30,1011,90,1.206170e+10,588.7,110.4
prefix32,55,hon2on,30,892,90,1.064197e+10,590.2,86.2
mkp224o,56,hon2o,25,692,90,2.579963e+08,140.7,338.3
honion,56,hon2on,30,1063,90,1.268208e+10,591.3,109.6
prefix32,56,hon2on,30,929,90,1.108340e+10,591.7,85.9
mkp224o,57,hon2o,25,687,90,2.561322e+08,140.9,338.6
honion,57,hon2on,30,1016,90,1.212135e+10,588.3,109.6
prefix32,57,hon2on,30,939,90,1.120271e+10,590.8,86.1
mkp224o,58,hon2o,25,703,90,2.620974e+08,140.3,339.1
honion,58,hon2on,30,1018,90,1.214521e+10,587.2,110.3
prefix32,58,hon2on,30,867,90,1.034371e+10,591.2,88.1
mkp224o,59,hon2o,25,708,90,2.639615e+08,140.1,337.8
